Label,Quantity
R-XXS-42-A,1
R-XXS-42-B,1
R-XXS-42-C,1
R-XXS-42-D,1
R-XXS-42-E,1
R-XXS-42-F,1
R-XXS-42-H,2
R-XXS-42-J,2
