Label,Quantity
R-L-A,2
R-L-B,2
R-L-C,2
R-L-E,1
R-L-F,1
R-L-G,1
R-L-H,1
R-L-I,1
R-L-K,1
R-L-L,1
R-L-M,1
R-L-N,1
R-L-O,1
