Label,Quantity
W-O-L-4-A,2
W-O-L-4-B,2
W-O-L-4-C,1
W-O-L-4-D,1
W-O-L-4-E,2
W-O-L-4-F,1
W-O-L-4-G,1
W-O-L-4-H,2
W-O-L-4-I,2
