Label,Quantity
V-XXS-1-A,1
V-XXS-1-B,1
V-XXS-1-C,1
V-XXS-1-D,1
V-XXS-1-E,1
V-XXS-1-F,1
V-XXS-1-G,1
V-XXS-1-H,1
V-XXS-1-I,4
