Label,Quantity
R-L-42-A,1
R-L-42-B,1
R-L-42-C,1
R-L-42-D,1
R-L-42-E,1
R-L-42-F,1
R-L-42-G,1
R-L-42-H,1
R-L-42-I,1
R-L-42-J,1
R-L-42-K,1
R-L-42-L,1
R-L-42-M,1
R-L-42-N,1
