Label,Quantity
E-S-A,1
E-S-B,1
E-S-C,1
E-S-D,16
E-S-E,2
E-S-F,1
E-S-H,1
E-S-I,1
E-S-J,1
E-S-K,1
E-S-L,1
E-S-M,1
E-S-N,1
E-S-O,1
E-S-P,1
E-S-R,2
E-S-S,1
E-S-T,1
E-S-U,2
