Label,Quantity
W-O-M-1-A,1
W-O-M-1-B,1
W-O-M-1-C,2
W-O-M-1-D,2
W-O-M-1-E,1
W-O-M-1-F,3
W-O-M-1-G,2
W-O-M-1-H,1
W-O-M-1-I,1
