Label,Quantity
W-O-S-3-A,1
W-O-S-3-B,2
W-O-S-3-C,2
W-O-S-3-D,2
W-O-S-3-F,2
W-O-S-3-G,1
W-O-S-3-H,1
W-O-S-3-I,1
